agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
East Pittsburgh Borough Police Department,1,Local police department,PA,Allegheny,East Pittsburgh,15112,42003,811 Linden Ave, 
Dane Police Department,1,Local police department,WI,Dane,Dane,53529,55025,102 West Main Street,P.O. Box 168
Gaines Township Police Department,1,Local police department,MI,Genesee,Gaines,48436,26049,9255 West Grand Blanc Rd, 
Granville Police Department,1,Local police department,MA,Hampden,Granville,1034,25013,707 Main Rd, 
Crenshaw Police Department,1,Local police department,MS,Panola,Crenshaw,38621,28107,Post Office Box 296, 
Luckey Police Department,1,Local police department,OH,Wood,Luckey,43443,39173,P.O. Box 415,226 Main Street
Duke Police Department,1,Local police department,OK,Jackson,Duke,73532,40065,114 2Nd, 
Decaturville Police Department,1,Local police department,TN,Decatur,Decaturville,38329,47039,P.O. Box 159, 
White Stone Police Department,1,Local police department,VA,Lancaster,White Stone,22578,51103,P.O. Box 11, 
Lester Police Department,1,Local police department,WV,Raleigh,Lester,25865,54081,P O Box 56,122 Grandison St.
Williams Creek Police,1,Local police department,IN,Marion,Indianapolis,46260,18097,"1427 W. 86Th Street,Suite 176", 
Frost Township Police Department,1,Local police department,MI,Clare,Harrison,48625,26035,2463 E Long Lake Rd, 
Kilmichael Police Department,1,Local police department,MS,Montgomery,Kilmichael,39747,28097,Post Office Box 296, 
Otterville Police Department,1,Local police department,MO,Cooper,Otterville,65348,29053,Po Box 58 - City Hall, 
Memphis Police Department,1,Local police department,MI,Macomb,Memphis,48041,26099,201 Poplar, 
Hooper Police Dept,1,Local police department,NE,Dodge,Hooper,68031,31053,P.O. Box 65, 
Calvin Police Department,1,Local police department,OK,Hughes,Calvin,74531,40063,P. O. Box 368, 
Crowell Police Department,1,Local police department,TX,Foard,Crowell,79227,48155,Po Box 250, 
Campbellsburg Police Department,1,Local police department,KY,Henry,Campbellsburg,40011,21103,P.O. Box 67,8142 Main Street
Hoxie Police Department,1,Local police department,KS,Sheridan,Hoxie,67740,20179,Po Box 898, 
Milford Police Dept,1,Local police department,IL,Iroquois,Milford,60953,17075,P.O. Box 13, 
Hawesville Police Department,1,Local police department,KY,Hancock,Hawesville,42348,21091,P.O. Box 157, 
East Deer Township Police Department,1,Local police department,PA,Allegheny,Creighton,15030,42003,927 Freeport Road, 
Briarcliffe Acres Police Department,1,Local police department,SC,Horry,N. Myrtle Beach,29598,45051,PO Box 1250, 
Vader Police Department,1,Local police department,WA,Lewis,Vader,98593,53041,Po Box 189, 
Pratt Police Department,1,Local police department,WV,Kanawha,Pratt,25162,54039,Post Office Box 128, 
Lee County Sheriff's Office,1,Sheriff's office,KY,Lee,Beattyville,41311,21129,Po Box 177, 
Louin Police Department,1,Local police department,MS,Jasper,Louin,39338,28061,Post Office Box 3, 
Maysville Police Department,1,Local police department,MO,DeKalb,Maysville,64469,29063,P. O. Box 536, 
Cosmos Police Department,1,Local police department,MN,Meeker,Cosmos,56228,27093,P.O. BOX 205, 
Armour Police Department,1,Local police department,SD,Douglas,Armour,57313,46043,Po Box 415,620 Main Street
Avoca Police Department,1,Local police department,WI,Iowa,Avoca,53506,55049,401 Wisconsin Street,P.O. Box 148
Woodsboro Police Department,1,Local police department,TX,Refugio,Woodsboro,78393,48391,P.O. 632, 
Blaine County Sheriff's Office,1,Sheriff's office,NE,Blaine,Brewster,68821,31009,205 N Burford Ave, 
Protection Police Department,1,Local police department,KS,Comanche,Protection,67127,20033,108 W Walnut, 
Pembroke Police Department,1,Local police department,KY,Christian,Pembroke,42266,21047,80 Center Street, 
Pilot Knob Police Department,1,Local police department,MO,Iron,Pilot Knob,63663,29093,Po Box 188, 
Balaton Police Department,1,Local police department,MN,Murray,Balaton,56115,27101,P.O. BOX 144, 
Seagrove Police Department,1,Local police department,NC,Randolph,Seagrove,27341,37151,Po Box 422, 
Bloomdale Police Department,1,Local police department,OH,Wood,Bloomdale,44817,39173,102 South Maple Street,P.O. Box 27
Moapa Valley Township Constable,1,Local police department,NV,Clark,Overton,89040,32003,P.O. Box 554, 
Dresser Police Department,1,Local police department,WI,Polk,Dresser,54009,55095,Po Box 547,102 Main St West
Boulder Junction Police Department,1,Local police department,WI,Vilas,Boulder Junction,54512,55125,5386 Park Street,P.O. Box 616
Wheatland Township Police Department,1,Local police department,WI,Kenosha,New Munster,53152,55059,34315 Geneva Road,P.O. Box 797
Orestes Police,1,Local police department,IN,Madison,Orestes,46063,18095,2 South Superior,Post Office Box 295
Oblong Police Dept,1,Local police department,IL,Crawford,Oblong,62449,17033,202 S. Range, 
New Windsor Police Dept,1,Local police department,IL,Mercer,New Windsor,61465,17131,125 N 3Rd Ave, 
Williamsburg Police Department,1,Local police department,MA,Hampshire,Williamsburg,1039,25015,P.O. Box 119, 
Mortons Gap Police Department,1,Local police department,KY,Hopkins,Mortons Gap,42440,21107,P.O. Box 367, 
Spaulding Township Police Department,1,Local police department,MI,Saginaw,Saginaw,48601,26145,5025 East Street, 
Simpson Police Department,1,Local police department,NC,Pitt,Simpson,27879,37147,Po Box 71, 
Ennis Police Department,1,Local police department,MT,Madison,Ennis,59729,30057,119 W Brown, 
New Castle Township Police Department,1,Local police department,PA,Schuylkill,Saint Clair,17970,42107,248-250 Broad Street, 
Montrose Borough Police Department,1,Local police department,PA,Susquehanna,Montrose,18801,42115,61 Cherry St,Po Box 216
Red Cliff Tribal Law Enforcement,1,Local police department,WI,Bayfield,Bayfield,54814,55007,88385 Pike Road Highway 13, 
Capon Bridge Police Department,1,Local police department,WV,Hampshire,Capon Bridge,26711,54027,Post Office Box 183, 
Moran Police Department,1,Local police department,KS,Allen,Moran,66755,20001,Po Box 188, 
Sunman Police,1,Local police department,IN,Ripley,Sunman,47041,18137,P.O. Box 147, 
Lyons Police Department,1,Local police department,IN,Greene,Lyons,47443,18055,Po Box 808, 
Blue Mountain Police Department,1,Local police department,MS,Tippah,Blue Mountain,38610,28139,Post Office Box 116, 
Clay Center Police Dept,1,Local police department,NE,Clay,Clay Center,68933,31035,101 S. Martin, 
Bolivar Police Department,1,Local police department,OH,Tuscarawas,Bolivar,44612,39157,211 West Jackson St., 
Nash Police Department,1,Local police department,OK,Grant,Nash,73761,40053,P. O. Box 520, 
Indian Lake Police Department,1,Local police department,TX,Cameron,Los Fresnos,78566,48061,P. O. Box 552, 
Hand County Sheriff's Office,1,Sheriff's office,SD,Hand,Miller,57362,46059,415 W 1St Ave Rm 102, 
Suring Police Department,1,Local police department,WI,Oconto,Suring,54174,55083,604 East Main Street,P.O. Box 31
Farmington Police Department,1,Local police department,MS,Alcorn,Corinth,38835,28003,531 Main Street, 
Edwards Police Department,1,Local police department,MS,Hinds,Edwards,39066,28049,Post Office Box 215, 
North Hopewell Township Police Department,1,Local police department,PA,York,Felton,17322,42133,13081 High Point Rd, 
Newton Township Police Department,1,Local police department,PA,Lackawanna,Clarks Summit,18411,42069,1528 Newton Ransom Blvd, 
Smithton Borough Police Department.,1,Local police department,PA,Westmoreland,Smithton,15479,42129,615 Center Street,PO Box 374
Readstown Police Department,1,Local police department,WI,Vernon,Readstown,54652,55123,116 North Fourth Street, 
Scranton Police Department,1,Local police department,KS,Osage,Scranton,66537,20139,Po Box 143, 
Oxford Police,1,Local police department,IN,Benton,Oxford,47971,18007,105 South Howard Street,P. O. Box 54
Wilsonville Police Dept,1,Local police department,IL,Macoupin,Wilsonville,62093,17117,P.O. Box 404,99 Wilson Avenue
Clarksburg Police Department,1,Local police department,MA,Berkshire,Clarksburg,1247,25003,222 West Main Street, 
Sicily Island Police Department,1,Local police department,LA,Catahoula,Sicily Island,71368,22025,Po Box 45, 
Iron Mountain Lake Police Department,1,Local police department,MO,St. Francois,Bismarck,63624,29187,591 N Lakeshore Dr, 
Ishpeming Township Police Department,1,Local police department,MI,Marquette,Ishpeming,49849,26103,1575 U S 41 West, 
East Marlborough Township,1,Local police department,PA,Chester,Kennett Square,19348,42029,721 Unionville Road, 
Vici Police Department,1,Local police department,OK,Dewey,Vici,73859,40043,City Hall P. O. Box 183, 
Avinger Police Department,1,Local police department,TX,Cass,Avinger,75630,48067,P. O. Box 356, 
Marion Township Police Department,1,Local police department,WI,Waushara,Wautoma,54982,55137,N1279 County Road Z, 
Rivesville Police Department,1,Local police department,WV,Marion,Rivesville,26588,54049,P.O. BOX 45, 
New Paris Police Department,1,Local police department,OH,Preble,New Paris,45347,39135,115 North Spring Street,P.O. Box 157
Holgate Police Department,1,Local police department,OH,Henry,Holgate,43527,39069,P.O. Box 217,327 Railway Avenue
Berlin Borough Police Department,1,Local police department,PA,Somerset,Berlin,15530,42111,700 North Street,P.O. Box 193
Athens Police Department,1,Local police department,WI,Marathon,Athens,54411,55073,951 E Hobbs Street, 
Grant Town Police Department,1,Local police department,WV,Marion,Grant Town,26574,54049,Municipal Building, 
Shoals Police,1,Local police department,IN,Martin,Shoals,47581,18101,Post Office Box 1078, 
Marston Police Department,1,Local police department,MO,New Madrid,Marston,63866,29143,209 E Elm    Po Box F, 
McCullom Lake Police Dept,1,Local police department,IL,McHenry,McHenry,60050,17111,4811 West Orchard Drive, 
Mazon Police Dept,1,Local police department,IL,Grundy,Mazon,60444,17063,520 Depot Street,P.O. Box 1
Marion Township Police Department,1,Local police department,PA,Beaver,Fombell,16123,42007,N1279 County Road Z, 
Plantersville Police Department,1,Local police department,MS,Lee,Plantersville,38862,28081,Post Office Box 507, 
Lake Waukomis Police Department,1,Local police department,MO,Platte,Lake Waukomis,64151,29165,1147 South Shore Drive, 
Sebeka Police Department,1,Local police department,MN,Wadena,Sebeka,56477,27159,P.O. Box 305, 
Hughestown Borough Police Department,1,Local police department,PA,Luzerne,Pittston,18640,42079,42 Center Street, 
Cameron Police Department,1,Local police department,SC,Calhoun,Cameron,29030,45017,101 N. Chestnut St., 
Hartsville Police,1,Local police department,IN,Bartholomew,Hartsville,47244,18005,Post Office Box 8, 
Gallatin County Police Department,1,Local police department,KY,Gallatin,Warsaw,41095,21077,P.O. Box 724, 
Laurel Police Dept,1,Local police department,NE,Cedar,Laurel,68745,31027,101 West 1St, 
Montour Township Police Department,1,Local police department,PA,Columbia,Bloomsburg,17815,42037,195 Rupert Drive, 
